202135001	ÍõÑô	220181000000003825	13210001129
202135002	´Þ×ÏæÌ	410421000000006541	18530001200
202135003	Õ½Ë¼º¬	220181000000002426	18530008228
202135004	Ö£äµ°Â	330382000000000910	18750002200
202235005	ËïÓ¨Ó¨	130927000000001825	13620006421
202235006	ËïÐñÈ½	130527000000002021	13830002081
202135007	Ñî¼ÎºÀ	130530000000000534	13310005186
202035108	ÁÖÝÒÈã	650104000000000741	19930003324
202235009	¶ÎÈï	130981000000001389	13830000330
202135010	·ëºØæÂ	220581000000000581	18530007659
202135011	êËºÕÑô	12010700000000271X	18520001984
202235112	Â¬ÎÄÝæ	632124000000003643	18390005431
202135013	ÄÏÕýÑ«	210882000000000313	15640004113
202135014	Ò¶Äª×ôÂÞ	341421000000000111	13690004889
202235015	Öì½õçù	330203000000003016	18530001759
202135016	ÕÅöªÓê	420502000000000622	18700007820
